"id","addr","city","state","zip"
"201405522","3732 CENTRAL AVE","NASHVILLE","TN","37205"
"201402644","706 BOWLING AVE","NASHVILLE","TN","37215"
"201313552","1605 16TH AVE S","NASHVILLE","TN","37212"
"201340115","99 WESTOVER AVE","NASHVILLE","TN","37205"
"201209357","1101 EDGEHILL AVE","NASHVILLE","TN","37203"
"201414420","4015 SNEED RD","NASHVILLE","TN","37215"
"201331292","613 LYNNBROOK RD","NASHVILLE","TN","37215"
"201325276","748 ROYCROFT PL","NASHVILLE","TN","37203"
"201329740","2322 GOLF CLUB LN","NASHVILLE","TN","37215"
"201331199","106 SHEFFIELD CT","NASHVILLE","TN","37215"
"201411613","203 HILLWOOD BLVD","NASHVILLE","TN","37205"
"201308800","210 MIDDLETON ST","NASHVILLE","TN","37210"
"201340469","3503 ECHO HILL RD","NASHVILLE","TN","37215" 
"201413395","212 BELCLAIRE PL","NASHVILLE","TN","37205"
"201338257","1721 LINDEN AVE","NASHVILLE","TN","37212"
"201406745","116 VOSSLAND DR","NASHVILLE","TN","37205"
"201319447","4017 ESTES RD","NASHVILLE","TN","37215"
"201400715","3100 WEST END CIR 103","NASHVILLE","TN","37203"
"201333831","3707 WESTBROOK AVE","NASHVILLE","TN","37205"
"201336634","3479 GOLF CLUB LN","NASHVILLE","TN","37215"
"201323090","910 WOODMONT BLVD","NASHVILLE","TN","37204"
"201319297","3001 B HARPETH SPRINGS DR","NASHVILLE","TN","37221"
"201401879","3801 WOODLAWN DR","NASHVILLE","TN","37215"
"201332672","2026 FRANSWORTH DR","NASHVILLE","TN","37205"
"201335900","5121 BOXCROFT PL","NASHVILLE","TN","37205"
"201336374","439 GRAYSON DR","NASHVILLE","TN","37205"
"201402609","215 HEARTHSTONE MANOR LN","BRENTWOOD","TN","37027"
"201332916","109 CLYDELAN CT","NASHVILLE","TN","37205"
"201406449","2009 CASTLEMAN DR","NASHVILLE","TN","37215"
"201322636","3901 WEST END AVE 502","NASHVILLE","TN","37205"
"201414582","400 HATHAWAY CT","NASHVILLE","TN","37205"
"201413471","1013 GILMORE AVE","NASHVILLE","TN","37204"
"201321905","4320 ESTES RD","NASHVILLE","TN","37215"
"201317342","3940 APACHE TRL","ANTIOCH","TN","37013"
"201329243","1512 ELMWOOD AVE","NASHVILLE","TN","37212"
"201415404","620 HARDIN SHIRE DR","OLD HICKORY","TN","37138"
"201334055","400 HATHAWAY CT","NASHVILLE","TN","37205"
"201334055","400 HATHAWAY CT","NASHVILLE","TN","37205"
"201410646","1407 VILLA PL","NASHVILLE","TN","37212"
"201408998","113 CHEROKEE HILLS DR","ANTIOCH","TN","37013"
"201402285","625 BENTON AVE","NASHVILLE","TN","37204"
"201329794","1 HICKORY CLUB DR","ANTIOCH","TN","37013"
"201232345","115 WOODMONT BLVD","NASHVILLE","TN","37205"
"201319297","3001 HARPETH SPRINGS DR","NASHVILLE","TN","37221"
"201409828","2430 BEAR RD","NASHVILLE","TN","37215"
"201331037","2828 KENWAY RD","NASHVILLE","TN","37215"
"201400712","3102 WEST END CIR 103","NASHVILLE","TN","37203"
"201404739","2314 HAMPTON AVE","NASHVILLE","TN","37215"
"201403253","229 CARDEN AVE","NASHVILLE","TN","37205"
"201411939","221 ROLLING FORK CT","NASHVILLE","TN","37205"
"201405959","3309 SKYLINE DR","NASHVILLE","TN","37215"
"201338601","624 TIMBER LN","NASHVILLE","TN","37215"
"201338105","900 20TH AVE S 1201","NASHVILLE","TN","37212"
"201321387","12 GARDEN ST","NASHVILLE","TN","37210"
"201333930","2500 KENSINGTON PL","NASHVILLE","TN","37212"
"201327727","105 LEAKE AVE 56","NASHVILLE","TN","37205"
"201330679","416 TAMPA DR","NASHVILLE","TN","37211"
"201336892","6837 PENNYWELL DR","NASHVILLE","TN","37205"
"201411394","318 HURST DR","OLD HICKORY","TN","37138"
"201409927","503 W HILLWOOD DR","NASHVILLE","TN","37205"
"201321583","4045 VAILWOOD DR","NASHVILLE","TN","37215"
"201400477","2203 GRANTLAND AVE","NASHVILLE","TN","37204"
"201401313","5129 BOXCROFT PL","NASHVILLE","TN","37205"
"201404783","107 LEXINGTON CT","NASHVILLE","TN","37215"
"201320534","6103 ROBIN HILL RD","NASHVILLE","TN","37205"
"201303975","309 CHURCH ST 306","NASHVILLE","TN","37201"
"201400115","1409 GARTLAND AVE","NASHVILLE","TN","37206"
"201334810","2400 BUENA VISTA PIKE","NASHVILLE","TN","37218"
"201334808","2400 BUENA VISTA PIKE","NASHVILLE","TN","37218"
"201406002","2509 GARDNER LN","NASHVILLE","TN","37207"
"201402295","838 LISCHEY AVE","NASHVILLE","TN","37207"
"201408294","1506 LISCHEY AVE","NASHVILLE","TN","37207"
"201321866","1707 EASTLAND AVE","NASHVILLE","TN","37206"
"201334800","2400 BUENA VISTA PIKE","NASHVILLE","TN","37218"
"201335920","1309 FORREST AVE","NASHVILLE","TN","37206"
"201334802","2400 BUENA VISTA PIKE","NASHVILLE","TN","37218"
"201318769","301 ROSA L PARKS AVE 100-108","NASHVILLE","TN","37203"
"201319352","3724 CEDARWOOD DR","NASHVILLE","TN","37216"
"201334811","2400 BUENA VISTA PIKE","NASHVILLE","TN","37218"
"201412073","1521 RUSSELL ST","NASHVILLE","TN","37206"
"201334565","1010 11TH AVE N","NASHVILLE","TN","37208"
"201405839","162 3RD AVE N","NASHVILLE","TN","37201"
"201340580","1132 SHARPE AVE","NASHVILLE","TN","37206"
"201334813","2400 BUENA VISTA PIKE","NASHVILLE","TN","37218"
"201334794","2400 BUENA VISTA PIKE","NASHVILLE","TN","37218"
"201336150","805 STOCKELL ST","NASHVILLE","TN","37207"
"201401336","716 MCFERRIN AVE","NASHVILLE","TN","37206"
"201334793","2400 BUENA VISTA PIKE","NASHVILLE","TN","37218"
"201415488","1311 STRATTON AVE","NASHVILLE","TN","37206"
"201411389","906 BURCHWOOD AVE","NASHVILLE","TN","37216"
"201334799","2400 BUENA VISTA PIKE","NASHVILLE","TN","37218"
"201334809","2400 BUENA VISTA PIKE","NASHVILLE","TN","37218"
"201334806","2400 BUENA VISTA PIKE","NASHVILLE","TN","37218"
"201319802","1626 ORDWAY PL","NASHVILLE","TN","37206"
"201334798","2400 BUENA VISTA PIKE","NASHVILLE","TN","37218"
"201327816","305 BECKLEA DR","MADISON","TN","37115"
"201329421","3816 B MOSS ROSE DR","NASHVILLE","TN","37216"
"201334816","2400 BUENA VISTA PIKE","NASHVILLE","TN","37218"
"201338724","1319 MONTGOMERY AVE","NASHVILLE","TN","37207"
"201334796","2400 BUENA VISTA PIKE","NASHVILLE","TN","37218"
"201400009","1023 IVERSON AVE","NASHVILLE","TN","37216"
"201331011","1312 7TH AVE N","NASHVILLE","TN","37208"
"201318778","301 ROSA L PARKS AVE 400-420","NASHVILLE","TN","37203"
"201329282","910 MANILA AVE","NASHVILLE","TN","37206"
"201317319","501 N 16TH ST","NASHVILLE","TN","37206"
"201334801","2400 BUENA VISTA PIKE","NASHVILLE","TN","37218"
"201400093","520 S 14TH ST","NASHVILLE","TN","37206"
"201334803","2400 BUENA VISTA PIKE","NASHVILLE","TN","37218"
"201318774","301 ROSA L PARKS AVE 300-318","NASHVILLE","TN","37203"
"201334807","2400 BUENA VISTA PIKE","NASHVILLE","TN","37218"
"201335111","318 54TH AVE N","NASHVILLE","TN","37209"
"201326221","3157 EARHART RD","HERMITAGE","TN","37076"
"201416026","5048 MARC DR","NASHVILLE","TN","37211"
"201314244","1030 SHARPE AVE","NASHVILLE","TN","37206"
"201413801","1127 DELMAS AVE","NASHVILLE","TN","37216"
"201318771","301 ROSA L PARKS AVE 200-211","NASHVILLE","TN","37203"
"201334791","2400 BUENA VISTA PIKE","NASHVILLE","TN","37218"
"201338746","1309 WOODLAND ST","NASHVILLE","TN","37206"
"201330052","1708 EASTLAND AVE","NASHVILLE","TN","37206"
"201334814","2400 BUENA VISTA PIKE","NASHVILLE","TN","37218"
"201334805","2400 BUENA VISTA PIKE","NASHVILLE","TN","37218"
"201334812","2400 BUENA VISTA PIKE","NASHVILLE","TN","37218"
"201410929","4911 PARK AVE","NASHVILLE","TN","37209"
"201334804","2400 BUENA VISTA PIKE","NASHVILLE","TN","37218"
"201334797","2400 BUENA VISTA PIKE","NASHVILLE","TN","37218"
"201332547","1133 SHARPE AVE","NASHVILLE","TN","37206"
"201410929","4911 PARK AVE","NASHVILLE","TN","37209"
"201410942","515 SKYVIEW DR","NASHVILLE","TN","37206"
"201334815","2400 BUENA VISTA PIKE","NASHVILLE","TN","37218"
"201322134","910 SHELBY AVE","NASHVILLE","TN","37206"
"201334795","2400 BUENA VISTA PIKE","NASHVILLE","TN","37218"
"201314232","935 DELMAS AVE","NASHVILLE","TN","37216"
"201319300","2607 HIGHVIEW DR","NASHVILLE","TN","37206"
"201315024","1304 IRELAND ST","NASHVILLE","TN","37208"
"201410446","1201 CHEYENNE BLVD","MADISON","TN","37115"
"201416706","247 ENSWORTH PL","NASHVILLE","TN","37205"
"201334706","4347 LEBANON PIKE","HERMITAGE","TN","37076"
